timestamp,localized,hr,hrv
1684206108595.484,2023-05-15T20:01:48.595(UTC-07:00),66.882,7.652
1684206109236.7742,2023-05-15T20:01:49.236(UTC-07:00),87.663,21.817
1684206109933.3872,2023-05-15T20:01:49.933(UTC-07:00),85.498,18.615
1684206110940,2023-05-15T20:01:50.940(UTC-07:00),72.863,14.801
1684206111811.1292,2023-05-15T20:01:51.811(UTC-07:00),58.903,26.595
1684206112926.6128,2023-05-15T20:01:52.926(UTC-07:00),61.985,10.878
1684206113721.7742,2023-05-15T20:01:53.721(UTC-07:00),61.422,2.519
1684206114881.2903,2023-05-15T20:01:54.881(UTC-07:00),61.361,0.624
1684206115646.4517,2023-05-15T20:01:55.646(UTC-07:00),64.321,2.899
1684206116405,2023-05-15T20:01:56.405(UTC-07:00),80.441,19.080
1684206117507.258,2023-05-15T20:01:57.507(UTC-07:00),63.341,0.980
1684206118154.1936,2023-05-15T20:01:58.154(UTC-07:00),73.868,6.573
1684206118835.8064,2023-05-15T20:01:58.835(UTC-07:00),86.713,23.373
1684206119517.4194,2023-05-15T20:01:59.517(UTC-07:00),89.070,15.202
1684206120671.2903,2023-05-15T20:02:00.671(UTC-07:00),60.522,26.191
1684206121457.0967,2023-05-15T20:02:01.457(UTC-07:00),64.127,24.943
1684206122541.6128,2023-05-15T20:02:02.541(UTC-07:00),64.193,3.671
1684206123300.1614,2023-05-15T20:02:03.300(UTC-07:00),63.590,0.537
1684206124103.7097,2023-05-15T20:02:04.103(UTC-07:00),79.098,14.905
1684206125106.6128,2023-05-15T20:02:05.106(UTC-07:00),69.533,5.943
1684206125844.516,2023-05-15T20:02:05.844(UTC-07:00),65.882,13.217
1684206126551.4517,2023-05-15T20:02:06.551(UTC-07:00),84.039,14.507
1684206127272.4194,2023-05-15T20:02:07.272(UTC-07:00),87.427,21.545
1684206127934.3547,2023-05-15T20:02:07.934(UTC-07:00),91.423,7.384
1684206128982.258,2023-05-15T20:02:08.982(UTC-07:00),66.810,20.616
1684206129782.0967,2023-05-15T20:02:09.782(UTC-07:00),61.391,30.032
1684206130861.9678,2023-05-15T20:02:10.861(UTC-07:00),66.113,0.697
1684206131629.8386,2023-05-15T20:02:11.629(UTC-07:00),64.490,3.099
1684206132378.0645,2023-05-15T20:02:12.378(UTC-07:00),80.190,14.076
1684206133450.3225,2023-05-15T20:02:13.450(UTC-07:00),65.580,1.089
1684206134133.9033,2023-05-15T20:02:14.133(UTC-07:00),87.115,6.926
