timestamp,localized,red,ir
1684206048739,2023-05-15T20:00:48.739(UTC-07:00),28483,303377
1684206048761,2023-05-15T20:00:48.761(UTC-07:00),28479,303369
1684206048784,2023-05-15T20:00:48.784(UTC-07:00),28477,303366
1684206048806,2023-05-15T20:00:48.806(UTC-07:00),28477,303366
1684206048829,2023-05-15T20:00:48.829(UTC-07:00),28477,303368
1684206048851,2023-05-15T20:00:48.851(UTC-07:00),28478,303370
1684206048874,2023-05-15T20:00:48.874(UTC-07:00),28479,303372
1684206048896,2023-05-15T20:00:48.896(UTC-07:00),28479,303374
1684206048919,2023-05-15T20:00:48.919(UTC-07:00),28480,303375
1684206048941,2023-05-15T20:00:48.941(UTC-07:00),28481,303377
1684206048964,2023-05-15T20:00:48.964(UTC-07:00),28481,303378
1684206048986,2023-05-15T20:00:48.986(UTC-07:00),28482,303379
1684206049009,2023-05-15T20:00:49.009(UTC-07:00),28482,303380
1684206049031,2023-05-15T20:00:49.031(UTC-07:00),28482,303381
1684206049054,2023-05-15T20:00:49.054(UTC-07:00),28482,303382
1684206049076,2023-05-15T20:00:49.076(UTC-07:00),28483,303384
1684206049099,2023-05-15T20:00:49.099(UTC-07:00),28483,303386
1684206049118,2023-05-15T20:00:49.118(UTC-07:00),28484,303389
1684206049137,2023-05-15T20:00:49.137(UTC-07:00),28485,303391
1684206049156,2023-05-15T20:00:49.156(UTC-07:00),28486,303394
1684206049176,2023-05-15T20:00:49.176(UTC-07:00),28487,303396
1684206049195,2023-05-15T20:00:49.195(UTC-07:00),28488,303398
1684206049214,2023-05-15T20:00:49.214(UTC-07:00),28489,303400
1684206049233,2023-05-15T20:00:49.233(UTC-07:00),28490,303402
1684206049253,2023-05-15T20:00:49.253(UTC-07:00),28492,303405
1684206049272,2023-05-15T20:00:49.272(UTC-07:00),28494,303409
1684206049291,2023-05-15T20:00:49.291(UTC-07:00),28496,303413
1684206049310,2023-05-15T20:00:49.310(UTC-07:00),28498,303417
1684206049330,2023-05-15T20:00:49.330(UTC-07:00),28500,303421
1684206049349,2023-05-15T20:00:49.349(UTC-07:00),28502,303425
1684206049368,2023-05-15T20:00:49.368(UTC-07:00),28504,303429
1684206049387,2023-05-15T20:00:49.387(UTC-07:00),28505,303432
1684206049407,2023-05-15T20:00:49.407(UTC-07:00),28505,303434
1684206049426,2023-05-15T20:00:49.426(UTC-07:00),28506,303434
1684206049445,2023-05-15T20:00:49.445(UTC-07:00),28505,303432
1684206049464,2023-05-15T20:00:49.464(UTC-07:00),28503,303427
1684206049484,2023-05-15T20:00:49.484(UTC-07:00),28500,303420
1684206049503,2023-05-15T20:00:49.503(UTC-07:00),28496,303411
1684206049522,2023-05-15T20:00:49.522(UTC-07:00),28492,303403
1684206049541,2023-05-15T20:00:49.541(UTC-07:00),28487,303394
1684206049561,2023-05-15T20:00:49.561(UTC-07:00),28483,303387
1684206049580,2023-05-15T20:00:49.580(UTC-07:00),28479,303382
1684206049599,2023-05-15T20:00:49.599(UTC-07:00),28475,303378
1684206049618,2023-05-15T20:00:49.618(UTC-07:00),28472,303375
1684206049638,2023-05-15T20:00:49.638(UTC-07:00),28470,303373
1684206049657,2023-05-15T20:00:49.657(UTC-07:00),28468,303372
1684206049676,2023-05-15T20:00:49.676(UTC-07:00),28467,303371
1684206049695,2023-05-15T20:00:49.695(UTC-07:00),28465,303371
1684206049715,2023-05-15T20:00:49.715(UTC-07:00),28464,303370
1684206049733,2023-05-15T20:00:49.733(UTC-07:00),28463,303369
1684206049751,2023-05-15T20:00:49.751(UTC-07:00),28461,303368
1684206049769,2023-05-15T20:00:49.769(UTC-07:00),28459,303367
1684206049788,2023-05-15T20:00:49.788(UTC-07:00),28457,303365
1684206049806,2023-05-15T20:00:49.806(UTC-07:00),28456,303364
1684206049824,2023-05-15T20:00:49.824(UTC-07:00),28456,303363
1684206049842,2023-05-15T20:00:49.842(UTC-07:00),28456,303363
1684206049861,2023-05-15T20:00:49.861(UTC-07:00),28457,303364
1684206049879,2023-05-15T20:00:49.879(UTC-07:00),28458,303367
1684206049897,2023-05-15T20:00:49.897(UTC-07:00),28459,303370
1684206049916,2023-05-15T20:00:49.916(UTC-07:00),28460,303373
1684206049934,2023-05-15T20:00:49.934(UTC-07:00),28461,303375
1684206049952,2023-05-15T20:00:49.952(UTC-07:00),28462,303377
1684206049970,2023-05-15T20:00:49.970(UTC-07:00),28463,303379
1684206049989,2023-05-15T20:00:49.989(UTC-07:00),28464,303381
1684206050007,2023-05-15T20:00:50.007(UTC-07:00),28465,303383
1684206050025,2023-05-15T20:00:50.025(UTC-07:00),28467,303385
1684206050044,2023-05-15T20:00:50.044(UTC-07:00),28469,303388
1684206050062,2023-05-15T20:00:50.062(UTC-07:00),28471,303390
1684206050080,2023-05-15T20:00:50.080(UTC-07:00),28473,303393
1684206050098,2023-05-15T20:00:50.098(UTC-07:00),28475,303396
1684206050117,2023-05-15T20:00:50.117(UTC-07:00),28477,303398
1684206050135,2023-05-15T20:00:50.135(UTC-07:00),28478,303401
1684206050153,2023-05-15T20:00:50.153(UTC-07:00),28480,303403
1684206050172,2023-05-15T20:00:50.172(UTC-07:00),28481,303405
1684206050190,2023-05-15T20:00:50.190(UTC-07:00),28482,303407
1684206050208,2023-05-15T20:00:50.208(UTC-07:00),28483,303409
1684206050226,2023-05-15T20:00:50.226(UTC-07:00),28484,303410
1684206050245,2023-05-15T20:00:50.245(UTC-07:00),28485,303409
1684206050263,2023-05-15T20:00:50.263(UTC-07:00),28484,303407
1684206050281,2023-05-15T20:00:50.281(UTC-07:00),28483,303403
1684206050300,2023-05-15T20:00:50.300(UTC-07:00),28481,303396
1684206050320,2023-05-15T20:00:50.320(UTC-07:00),28479,303388
1684206050340,2023-05-15T20:00:50.340(UTC-07:00),28475,303380
1684206050360,2023-05-15T20:00:50.360(UTC-07:00),28472,303373
1684206050380,2023-05-15T20:00:50.380(UTC-07:00),28469,303366
1684206050400,2023-05-15T20:00:50.400(UTC-07:00),28467,303361
1684206050420,2023-05-15T20:00:50.420(UTC-07:00),28465,303356
1684206050441,2023-05-15T20:00:50.441(UTC-07:00),28465,303354
1684206050461,2023-05-15T20:00:50.461(UTC-07:00),28465,303353
1684206050481,2023-05-15T20:00:50.481(UTC-07:00),28466,303353
1684206050501,2023-05-15T20:00:50.501(UTC-07:00),28466,303354
1684206050521,2023-05-15T20:00:50.521(UTC-07:00),28465,303356
1684206050541,2023-05-15T20:00:50.541(UTC-07:00),28465,303357
1684206050562,2023-05-15T20:00:50.562(UTC-07:00),28465,303358
1684206050582,2023-05-15T20:00:50.582(UTC-07:00),28465,303357
1684206050602,2023-05-15T20:00:50.602(UTC-07:00),28465,303357
1684206050622,2023-05-15T20:00:50.622(UTC-07:00),28466,303356
1684206050642,2023-05-15T20:00:50.642(UTC-07:00),28466,303357
1684206050662,2023-05-15T20:00:50.662(UTC-07:00),28467,303357
1684206050682,2023-05-15T20:00:50.682(UTC-07:00),28468,303359
1684206050703,2023-05-15T20:00:50.703(UTC-07:00),28469,303360
1684206050723,2023-05-15T20:00:50.723(UTC-07:00),28469,303361
1684206050743,2023-05-15T20:00:50.743(UTC-07:00),28469,303362
1684206050763,2023-05-15T20:00:50.763(UTC-07:00),28469,303363
1684206050783,2023-05-15T20:00:50.783(UTC-07:00),28470,303365
1684206050803,2023-05-15T20:00:50.803(UTC-07:00),28471,303367
1684206050824,2023-05-15T20:00:50.824(UTC-07:00),28472,303370
1684206050844,2023-05-15T20:00:50.844(UTC-07:00),28474,303373
1684206050864,2023-05-15T20:00:50.864(UTC-07:00),28475,303377
1684206050884,2023-05-15T20:00:50.884(UTC-07:00),28477,303381
1684206050904,2023-05-15T20:00:50.904(UTC-07:00),28478,303385
1684206050924,2023-05-15T20:00:50.924(UTC-07:00),28480,303389
1684206050945,2023-05-15T20:00:50.945(UTC-07:00),28482,303393
1684206050965,2023-05-15T20:00:50.965(UTC-07:00),28483,303396
1684206050985,2023-05-15T20:00:50.985(UTC-07:00),28485,303398
1684206051005,2023-05-15T20:00:51.005(UTC-07:00),28486,303400
1684206051025,2023-05-15T20:00:51.025(UTC-07:00),28487,303402
1684206051045,2023-05-15T20:00:51.045(UTC-07:00),28488,303404
1684206051065,2023-05-15T20:00:51.065(UTC-07:00),28489,303405
1684206051086,2023-05-15T20:00:51.086(UTC-07:00),28489,303405
1684206051106,2023-05-15T20:00:51.106(UTC-07:00),28489,303404
1684206051126,2023-05-15T20:00:51.126(UTC-07:00),28488,303400
1684206051146,2023-05-15T20:00:51.146(UTC-07:00),28485,303393
1684206051166,2023-05-15T20:00:51.166(UTC-07:00),28482,303385
1684206051186,2023-05-15T20:00:51.186(UTC-07:00),28477,303376
1684206051207,2023-05-15T20:00:51.207(UTC-07:00),28474,303368
1684206051227,2023-05-15T20:00:51.227(UTC-07:00),28471,303361
1684206051247,2023-05-15T20:00:51.247(UTC-07:00),28469,303355
1684206051267,2023-05-15T20:00:51.267(UTC-07:00),28467,303351
1684206051287,2023-05-15T20:00:51.287(UTC-07:00),28467,303348
1684206051307,2023-05-15T20:00:51.307(UTC-07:00),28466,303347
1684206051327,2023-05-15T20:00:51.327(UTC-07:00),28466,303346
1684206051348,2023-05-15T20:00:51.348(UTC-07:00),28466,303346
1684206051368,2023-05-15T20:00:51.368(UTC-07:00),28465,303347
1684206051388,2023-05-15T20:00:51.388(UTC-07:00),28465,303347
1684206051408,2023-05-15T20:00:51.408(UTC-07:00),28465,303348
1684206051428,2023-05-15T20:00:51.428(UTC-07:00),28464,303348
1684206051448,2023-05-15T20:00:51.448(UTC-07:00),28465,303349
1684206051469,2023-05-15T20:00:51.469(UTC-07:00),28465,303349
1684206051489,2023-05-15T20:00:51.489(UTC-07:00),28465,303350
1684206051509,2023-05-15T20:00:51.509(UTC-07:00),28465,303350
1684206051529,2023-05-15T20:00:51.529(UTC-07:00),28465,303351
1684206051549,2023-05-15T20:00:51.549(UTC-07:00),28465,303351
1684206051569,2023-05-15T20:00:51.569(UTC-07:00),28465,303352
